prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	image_url	context_mask	chunk_summary	group_summary	section_summary
•	Ensure bottle jack is placed on even and level surface.	1	1540	6	6	0		67		0	Ensure bottle jack is placed on even and level surface.	Ensure bottle jack is placed on even and level surface. Use only radial tires on trailer. Failure to comply may result in injury or death to personnel.	
•	Use only radial tires on trailer.	1	1540	6	6	0		67		0	Use only radial tires on trailer.		
•	Failure to comply may result in injury or death to personnel.	1	1540	6	6	0		67		0	Failure to comply may result in injury or death to personnel.		
	WARNING	-1	1541	6	6	0		67		1	WARNING		
	To avoid personal injury, get assistance when lifting components that weigh more than 40 lbs. One assistant is required for items up to 75 lbs, two assistants for items up to 100 lbs, and three assistants for items up to 130 lbs. Ensure lifting is done with the knees and not lower back. Incorrect heavy lifting could result in lower back injury or crushed extremities. Failure to comply may result in injury to personnel.	-1	1542	6	6	0		67		0	Heavy lifting could result in lower back injury or crushed extremities. One assistant is required for items up to 75lbs, two on 100lbs and three on 130lb apieces if more than 40 pounds are lifted -	Heavy lifting could result in lower back injury or crushed extremities. One assistant is required for items up to 75lbs, two on 100lbs and three on 130lb apieces if more than 40 pounds are lifted -	
	CAUTION	-1	1543	6	6	0		67		1	CAUTION		
	Avoid towing trailer with a flat wheel assembly for long distances. Failure to comply may result in damage to equipment.	-1	1544	6	6	0		67		0	Avoid towing trailer with a flat wheel assembly for long distances. Failure to comply may result in damage to equipment.	Avoid towing trailer with a flat wheel assembly for long distances. Failure to comply may result in damage to equipment.	
	Removal	-1	1545	6	6	0		67		1	Removal		
1.	Tow trailer to safe, level location.	2	1546	6	6	0		67		0	Tow trailer to safe, level location.	Lug wrenches can damage lug nuts, wheel stud or wheel assembly. Failure to comply may result in damage to equipment - and the trailer. Figure 5. Axle and Jack. Remove six lug nuts (Figure 6, Item 1) from wheel assembly (Figure 6). Figure 7. Lug Nut. With aid of assistant, remove wheel assembly (Figure 7) from trailer if wheel assembly is off ground – not on the ground. Figure 8.	
2.	Place wheel chocks (Figure 1, Item 1) around wheel assembly on opposite side of the trailer. Figure 1. Wheel Chocks.	2	1546	6	6	0		67	data/dod/rib_TM/images/img0369.jpg	0	Place wheel chocks (Figure 1, Item 1) around wheel assembly on opposite side of the trailer. Figure 1. Wheel Chocks.		
3.	Remove trailer from prime mover (WP 0026).	2	1546	6	6	0		67		0	Remove trailer from prime mover (WP 0026).		
4.	Using lug wrench, remove two lug nuts (Figure 2, Item 1) from spare wheel assembly (Figure 2, Item 2).	2	1546	6	6	0		67		0	Using lug wrench, remove two lug nuts (Figure 2, Item 1) from spare wheel assembly (Figure 2, Item 2).		
5.	Remove spare wheel assembly from trailer. Figure 2. Spare Wheel Assembly. Removal - Continued CAUTION Turning lug wrench in clockwise direction can damage lug nuts, wheel studs, or wheel assembly. Failure to comply may result in damage to, equipment.	2	1546	6	6	0		67	data/dod/rib_TM/images/img0370.jpg	0	Remove spare wheel assembly from trailer. Figure 2. Spare Wheel Assembly. Removal - Continued CAUTION Turning lug wrench in clockwise direction can damage lug nuts, wheel studs, or wheel assembly. Failure to comply may result in damage to, equipment.		
6.	Using lug wrench, loosen, but do not remove six lug nuts (Figure 3, Item 1) on wheel assembly (Figure 3, Item 2). Figure 3. Wheel Assembly. Removal - Continued	2	1546	6	6	0		67	data/dod/rib_TM/images/img0371.jpg	0	Using lug wrench, loosen, but do not remove six lug nuts (Figure 3, Item 1) on wheel assembly (Figure 3, Item 2). Figure 3. Wheel Assembly. Removal - Continued		
7.	Place bottle jack (Figure 4, Item 3) under axle (Figure 4, Item 1) near wheel assembly being removed (Figure 4, Item 2).	2	1546	6	6	0		67		0	Place bottle jack (Figure 4, Item 3) under axle (Figure 4, Item 1) near wheel assembly being removed (Figure 4, Item 2).		
8.	Unscrew jack screw until jack head (Figure 4, Item 4) is near axle. Figure 4. Jack Placement. Removal - Continued WARNING Improper placement or operation of the jack can cause trailer to slip off jack. DO NOT place any body parts between tire and ground when trailer is raised. Failure to comply may result in injury and or death to personnel. NOTE Leveling support jack may need to be adjusted to maintain contact with the ground after the trailer is raised by the jack.	2	1546	6	6	0		67	data/dod/rib_TM/images/img0372.jpg	0	Jack head (Figure 4, Item 4) is near axle. Unscrew screw until jack head (Figure 4.) is near axle - not jack head if jack is too high a height.		
9.	Using bottle jack (Figure 5, Item 2), raise axle (Figure 5, Item 3) until wheel assembly (Figure 5, Item 1) is off the ground. Figure 5. Axle and Jack. Removal - Continued NOTE Note direction of lug nuts prior to removal to aide in installation.	2	1546	6	6	0		67	data/dod/rib_TM/images/img0373.jpg	0	Using bottle jack (Figure 5, Item 2), raise axle (Figure 5, Item 3) until wheel assembly (Figure 5, Item 1) is off the ground. Figure 5. Axle and Jack. Removal - Continued NOTE Note direction of lug nuts prior to removal to aide in installation.		
10.	Remove six lug nuts (Figure 6, Item 1) from wheel assembly (Figure 6, Item 2). Figure 6. Lug Nut.	2	1546	6	6	0		67	data/dod/rib_TM/images/img0374.jpg	0	Remove six lug nuts (Figure 6, Item 1) from wheel assembly (Figure 6, Item 2). Figure 6. Lug Nut.		
11.	With aid of assistant, remove wheel assembly (Figure 7, Item 1) from trailer.	2	1546	6	6	0		67		0	With aid of assistant, remove wheel assembly (Figure 7, Item 1) from trailer.		
	Figure 7. Wheel Assembly.	-1	1547	6	6	0		67	data/dod/rib_TM/images/img0375.jpg	1	Figure 7. Wheel Assembly.		
	END OF TASK	-1	1547	6	6	0		67		1	END OF TASK		
	Installation	-1	1547	6	6	0		67		1	Installation		
1.	With aid of assistant, install spare wheel assembly (Figure 8, Item 1) on trailer. Figure 8. Spare Wheel Assembly. Installation - Continued CAUTION Lug nuts must be installed in the same direction as noted during removal. Failure to comply may result in damage to equipment.	2	1548	6	6	0		67	data/dod/rib_TM/images/img0376.jpg	0	With aid of assistant, install spare wheel assembly (Figure 8, Item 1) on trailer. Figure 8. Spare Wheel Assembly. Installation - Continued CAUTION Lug nuts must be installed in the same direction as noted during removal. Failure to comply may result in damage to equipment.	Installation - Continued Tighten six lug nuts with wrench until snug using star torque pattern (Figure 10). Figure 10. Star Torque Pattern. Installation – Continue DON'T place any body parts between tire and ground when lower the trailer. Failure to comply may result in injury or death to personnel if not properly installed, possibly causing damage to equipment resulting from damage incurred. Bottlejack release valve is located on the rear of the trailer. It	
2.	Install six lug nuts (Figure 9, Item 1) on wheel assembly (Figure 9, Item 2). Figure 9. Lug Nuts. Installation - Continued	2	1548	6	6	0		67	data/dod/rib_TM/images/img0377.jpg	0	Install six lug nuts (Figure 9, Item 1) on wheel assembly (Figure 9, Item 2). Figure 9. Lug Nuts. Installation - Continued		
3.	Tighten six lug nuts with wrench until snug using star torque pattern (Figure 10). Figure 10. Star Torque Pattern. Installation - Continued WARNING DO NOT place any body parts between tire and ground when lowering the trailer. Failure to comply may result in injury and or death to personnel.	2	1548	6	6	0		67	data/dod/rib_TM/images/img0378.jpg	0	Tighten six lug nuts with wrench until snug using star torque pattern (Figure 10). Figure 10. Star Torque Pattern. Installation - Continued WARNING DO NOT place any body parts between tire and ground when lowering the trailer. Failure to comply may result in injury and or death to personnel.		
4.	Place notched end (Figure 11, Item 1) of jack handle on bottle jack release valve (Figure 11, Item 2).	2	1548	6	6	0		67		0	Place notched end (Figure 11, Item 1) of jack handle on bottle jack release valve (Figure 11, Item 2).		
5.	Slowly turn release valve counter clockwise to lower axle and remove bottle jack.	2	1548	6	6	0		67		0	Slowly turn release valve counter clockwise to lower axle and remove bottle jack.		
	Figure 11. Bottle Jack.	-1	1549	6	6	0		67	data/dod/rib_TM/images/img0379.jpg	1	Figure 11. Bottle Jack.		
	0060-10	-1	1549	6	6	0		67		1	0060-10		
	Installation - Continued	-1	1549	6	6	0		67		1	Installation - Continued		
	CAUTION	-1	1549	6	6	0		67		1	CAUTION		
•	Lug nuts on replaced wheel assembly should be checked for tightness after 25 mi. km) and again after 75 mi. (120 km).	1	1550	6	6	0		67		0	Lug nuts on replaced wheel assembly should be checked for tightness after 25 mi. km) and again after 75 mi. (120 km).	Lug nuts on replaced wheel assembly should be checked for tightness after 25 mi. km) and again after 75 mi. (120 km).	
•	Notify maintenance supervisor that lug nuts on replaced wheel assembly need to be torqued.	1	1551	6	6	0		67		0	Notify maintenance supervisor that lug nuts on replaced wheel assembly need to be torqued.	Notify maintenance supervisor that lug nuts on replaced wheel assembly need to be torqued. Ensure beveled end of lug nut is centered on stud hole of wheel assembly before fully tightening lug nuts. Failure to comply can result in damage to trailer.	
•	Ensure beveled end of lug nut is centered on stud hole of wheel assembly before fully tightening lug nuts.	1	1551	6	6	0		67		0	Ensure beveled end of lug nut is centered on stud hole of wheel assembly before fully tightening lug nuts.		
•	Failure to comply can result in damage to trailer.	1	1551	6	6	0		67		0	Failure to comply can result in damage to trailer.		
	NOTE	-1	1552	6	6	0		67		1	NOTE		
	Upon reaching destination notify maintenance supervisor that lug nuts on replaced wheel assembly need to be torqued.	-1	1553	6	6	0		67		0	Upon reaching destination notify maintenance supervisor that lug nuts on replaced wheel assembly need to be torqued.	Upon reaching destination notify maintenance supervisor that lug nuts on replaced wheel assembly need to be torqued.	
6.	With lug wrench, tighten six lug nuts using star torque pattern (Figure 12). Figure 12. Star Torque Pattern. 0060-11 Installation - Continued	2	1554	6	6	0		67	data/dod/rib_TM/images/img0380.jpg	0	With lug wrench, tighten six lug nuts using star torque pattern (Figure 12). Figure 12. Star Torque Pattern. 0060-11 Installation - Continued	With lug wrench, tighten six lug nuts using star torque pattern (Figure 12). Figure 12. Star Torque Pattern. 0060-11 Installation - Continued With assistant, place flat wheel assembly on trailer spare wheel assembly mount retaining bolts (Figure 13, Item 2). Using lug wrench install two lug nuts (Figure 13, Item 1) on retaining bolts (Figure 13, Item 2). Figure 13. Spare Wheel Assembly. Remove wheel chocks from wheel assembly.	
7.	With assistant, place flat wheel assembly on trailer spare wheel assembly mount retaining bolts (Figure 13, Item 2).	2	1554	6	6	0		67		0	With assistant, place flat wheel assembly on trailer spare wheel assembly mount retaining bolts (Figure 13, Item 2).		
8.	Using lug wrench install two lug nuts (Figure 13, Item 1) on retaining bolts (Figure 13, Item 2). Figure 13. Spare Wheel Assembly.	2	1554	6	6	0		67	data/dod/rib_TM/images/img0381.jpg	0	Using lug wrench install two lug nuts (Figure 13, Item 1) on retaining bolts (Figure 13, Item 2). Figure 13. Spare Wheel Assembly.		
9.	Remove wheel chocks from wheel assembly.	2	1554	6	6	0		67		0	Remove wheel chocks from wheel assembly.		
	END OF TASK	-1	1555	6	6	0		67		1	END OF TASK		
	END OF WORK PACKAGE	-1	1555	6	6	0		67		1	END OF WORK PACKAGE		
	0060-12	-1	1555	6	6	0		67		1	0060-12		
	CHAPTER 6	-1	1555	6	6	0		67		1	CHAPTER 6		
	SUPPORTING INFORMATION	-1	1556	7	0	0	Chapter 6 - SUPPORTING INFORMATION FOR RIGID INFLATABLE BOAT (RIB)	68		0	SUPPORTING INFORMATION		
	FOR	-1	1556	7	0	0		68		1	FOR		
	RIGID INFLATABLE BOAT (RIB)	-1	1556	7	0	0		68		1	RIGID INFLATABLE BOAT (RIB)		
	TM 5-1940-328-10	-1	1556	7	0	0		68		1	TM 5-1940-328-10		
	OPERATOR	-1	1557	7	0	0		68		1	OPERATOR		
	REFERENCES	-1	1558	7	1	0	REFERENCES	69		0	REFERENCES		This work package lists all Field manuals, forms, Technical Manuals (TM), supply catalogs, and miscellaneous publications referenced in this manual. Copies of ASTM documents are available online at https:// assist.daps- dla/quicksearch/ or https://www!docsspp_dodzp.mil/).) (online DA Form 2028 Recommended Changes to Publications and Blank Forms DA Form 2404 Equipment Inspection and Maintenance Worksheet DA PAM 738-751 Functional Users Manual for The Army Maintenance Management System — Aviation AR 700-138 Army Logistics Readiness and Sustainability CTA 50-909 Field and Garrison Furnishings and Equipment CTA 50-970 Expendable/Durable Items (Except Medical, Class V, Repair Parts, and Heraldic Items) TB MED 507 Heat Stress Control and Heat Causality Management
	REFERENCES	-1	1559	7	1	0		69		1	REFERENCES		
	This work package lists all Field manuals, forms, Technical Manuals (TM), supply catalogs, and miscellaneous publications referenced in this manual.	-1	1560	7	1	0		69		0	This work package lists all Field manuals, forms, Technical Manuals (TM), supply catalogs, and miscellaneous publications referenced in this manual.	This work package lists all Field manuals, forms, Technical Manuals (TM), supply catalogs, and miscellaneous publications referenced in this manual.	
	NOTE	-1	1561	7	1	0		69		1	NOTE		
	(Applications for copies of ASTM documents should be addressed to the American Society for Testing Material, 100 Barr Harbor Drive, West Conshohocken, PA 19428-2959, (online: www.astm.org) or copies of these documents are available online at https:// assist.daps.dla.mil/quicksearch/ or https://www.dodssp.daps.mil/ or from the Document Automation and Production Service, Building 4/D, 700 Robbins Avenue, Philadelphia, PA 19111-5094.)	-1	1562	7	1	0		69		0	Copies of ASTM documents are available online at https:// assist.daps- dla/quicksearch/ or https://www!docsspp_dodzp.mil/).) (online	Copies of ASTM documents are available online at https:// assist.daps- dla/quicksearch/ or https://www!docsspp_dodzp.mil/).) (online	
	FORMS	-1	1563	7	1	0		69		1	FORMS	DA Form 2028 Recommended Changes to Publications and Blank Forms DA Form 2404 Equipment Inspection and Maintenance Worksheet	
	DA Form 2028 Recommended Changes to Publications and Blank Forms	-1	1563	7	1	0		69		0	DA Form 2028 Recommended Changes to Publications and Blank Forms		
	DA Form 2404 Equipment Inspection and Maintenance Worksheet	-1	1563	7	1	0		69		0	DA Form 2404 Equipment Inspection and Maintenance Worksheet		
	DA Form 2408-9 Equipment Control Record	-1	1563	7	1	0		69		1	DA Form 2408-9 Equipment Control Record		
	DA PAM 738-751 Functional Users Manual for The Army Maintenance Management System — Aviation	-1	1564	7	1	0		69		0	DA PAM 738-751 Functional Users Manual for The Army Maintenance Management System — Aviation	DA PAM 738-751 Functional Users Manual for The Army Maintenance Management System — Aviation	
	DA PAM 750-8 The Army Maintenance Management System (TAMMS) User's Manual	-1	1564	7	1	0		69		1	DA PAM 750-8 The Army Maintenance Management System (TAMMS) User's Manual		
	SF-368 Product Quality Deficiency Report	-1	1565	7	1	0		69		1	SF-368 Product Quality Deficiency Report	AR 700-138 Army Logistics Readiness and Sustainability CTA 50-909 Field and Garrison Furnishings and Equipment	
	TRAINING CIRCULAR	-1	1565	7	1	0		69		1	TRAINING CIRCULAR		
	TC 4-02.1 First Aid	-1	1565	7	1	0		69		1	TC 4-02.1 First Aid		
	MISCELLANEOUS PUBLICATIONS	-1	1565	7	1	0		69		1	MISCELLANEOUS PUBLICATIONS		
	AR 700-138 Army Logistics Readiness and Sustainability	-1	1565	7	1	0		69		0	AR 700-138 Army Logistics Readiness and Sustainability		
	CTA 8-100 Army Medical Department Expendable/Durable Items	-1	1565	7	1	0		69		1	CTA 8-100 Army Medical Department Expendable/Durable Items		
	CTA 50-909 Field and Garrison Furnishings and Equipment	-1	1565	7	1	0		69		0	CTA 50-909 Field and Garrison Furnishings and Equipment		
	CTA 50-970 Expendable/Durable Items (Except Medical, Class V, Repair Parts, and Heraldic Items)	-1	1566	7	1	0		69		0	CTA 50-970 Expendable/Durable Items (Except Medical, Class V, Repair Parts, and Heraldic Items)	CTA 50-970 Expendable/Durable Items (Except Medical, Class V, Repair Parts, and Heraldic Items)	
	TB MED 507 Heat Stress Control and Heat Causality Management	-1	1567	7	1	0		69		0	TB MED 507 Heat Stress Control and Heat Causality Management	TB MED 507 Heat Stress Control and Heat Causality Management	
	TM 38-250 Preparing Hazardous Materials For Military Air Shipment	-1	1567	7	1	0		69		1	TM 38-250 Preparing Hazardous Materials For Military Air Shipment		
	MISCELLANEOUS PUBLICATIONS - Continued	-1	1567	7	1	0		69		1	MISCELLANEOUS PUBLICATIONS - Continued		
	TM 750–244–3 Procedures For Destruction Of Equipment To Prevent Enemy Use (Mobility Equipment Command)	-1	1568	7	1	0		69		1	TM 750–244–3 Procedures For Destruction Of Equipment To Prevent Enemy Use (Mobility Equipment Command)		
	END OF WORK PACKAGE	-1	1569	7	1	0		69		1	END OF WORK PACKAGE		
	0061-2	-1	1569	7	1	0		69		1	0061-2		
	OPERATOR	-1	1570	7	1	0		69		1	OPERATOR		
	COMPONENTS OF END ITEM (COEI) AND BASIC ISSUE ITEMS (BII) LISTS	-1	1571	7	2	0	COMPONENTS OF END ITEM (COEI) AND BASIC ISSUE ITEMS (BII) LISTS	70		0	COMPONENTS OF END ITEM (COEI) AND BASIC ISSUE ITEMS (BII) LISTS		RIB lists COEI and BBI to help you inventory items for safe operation of equipment. The federal item name is Column (4) Usable On Code. When applicable, gives you a code if the item you need is not identical for different models of gear; column (6) Qty Rqr. Indicates quantity required. List item in table or modified tables of organization and equipment (TOE) to help identify items. Click here to download the work package. Back to page 1 of this document. Www2.ib-
	INTRODUCTION	-1	1572	7	2	0		70		1	INTRODUCTION		
	Scope	-1	1572	7	2	0		70		1	Scope		
	This work package lists COEI and BII for the RIB to help you inventory items for safe and efficient operation of the equipment.	-1	1573	7	2	0		70		0	This work package lists COEI and BII for the RIB to help you inventory items for safe and efficient operation of the equipment.	This work package lists COEI and BII for the RIB to help you inventory items for safe and efficient operation of the equipment.	
	General	-1	1574	7	2	0		70		1	General	The COEI and BII information is divided into the following lists:	
	The COEI and BII information is divided into the following lists:	-1	1574	7	2	0		70		0	The COEI and BII information is divided into the following lists:		
•	Components of End Item (COEI). This list is for information purposes only and is not authority to requisition replacements. These items are part of the RIB. As part of the end item, these items must be with the end item whenever it is issued or transferred between property accounts. Items of COEI are removed and separately packaged for transportation or shipment only when necessary. Illustrations are furnished to help you find and identify the items.	1	1575	7	2	0		70		0	COEI items must be with the end item whenever it is issued or transferred. Items of COE I are removed and separately packaged for transportation or shipment if necessary, says john sutter jr. This list is	COEI items must be with the end item whenever it is issued or transferred. Items of COE I are removed and separately packaged for transportation or shipment if necessary, says john sutter jr. This list is BII must be with the unit during operation and when it is transferred between accounts. If you need replacement, list item in table of organization and equipment/modified Tables of Organization and Equipment (TOE) to help identify items	
•	Basic Issue Items (BII). These essential items are required to place the RIB in operation, operate it, and to do emergency repairs. Although shipped separately packaged, BII must be with the RIB during operation and when it is transferred between property accounts. Listing these items is your authority to request/requisition them for replacement based on authorization of the end item by the Table of Organization and Equipment/Modified Table of Organization and Equipment (TOE/MTOE). Illustrations are furnished to help you find and identify the items.	1	1575	7	2	0		70		0	BII must be with the unit during operation and when it is transferred between accounts. If you need replacement, list item in table of organization and equipment/modified Tables of Organization and Equipment (TOE) to help identify items		
	Explanation of Columns in the COEI List and BII Lists	-1	1576	7	2	0		70		0	Explanation of Columns in the COEI List and BII Lists	Explanation of Columns in the COEI List and BII Lists Column (1) Illus Number. Gives you the number of the item illustrated.	
	Column (1) Illus Number. Gives you the number of the item illustrated.	-1	1576	7	2	0		70		0	Column (1) Illus Number. Gives you the number of the item illustrated.		
	Column (2) National Stock Number (NSN). Identifies the stock number of the item to be used for requisitioning purposes.	-1	1577	7	2	0		70		0	Column (2) National Stock Number (NSN). Identifies the stock number of the item to be used for requisitioning purposes.	"Column (2) National Stock Number (NSN). Identifies the stock number of the item to be used for requisitioning purposes. The stowage location of COEI and BBI is also included in this column. The last line below the description is the CAGEC (in parentheses) and part number. ""the federal item name"" is Column (4) Usable On Code. When applicable, gives you a code if the item you need is not the same for different models of equipment. These codes are identified below:"	
	Column (3) Description, Part Number/Commercial and Government Entity Code (CAGEC). Identifies the Federal item name (in all capital letters) followed by a minimum description when needed. The stowage location of COEI and BII is also included in this column. The last line below the description is the CAGEC (in parentheses) and the part number.	-1	1577	7	2	0		70		0	"The stowage location of COEI and BBI is also included in this column. The last line below the description is the CAGEC (in parentheses) and part number. ""the federal item name"" is"		
	Column (4) Usable On Code. When applicable, gives you a code if the item you need is not the same for different models of equipment. These codes are identified below:	-1	1577	7	2	0		70		0	Column (4) Usable On Code. When applicable, gives you a code if the item you need is not the same for different models of equipment. These codes are identified below:		
	Code Used on	-1	1578	7	2	0		70		0	Code Used on	Code Used on	
	RIB 8 Meter Army Rigid Inflatable Boat	-1	1578	7	2	0		70		1	RIB 8 Meter Army Rigid Inflatable Boat		
	Column (5) U/I. Unit of Issue (U/I) indicates the physical measurement or count of the item as issued per the National Stock Number shown in column (2).	-1	1579	7	2	0		70		0	Column (5) U/I. Unit of Issue (U/I) indicates the physical measurement or count of the item as issued per the National Stock Number shown in column (2).	Column (5) U/I. Unit of Issue (U/I) indicates the physical measurement or count of the item as issued per the National Stock Number shown in column (2).	
	Column (6) Qty Rqr. Indicates the quantity required.	-1	1580	7	2	0		70		0	Column (6) Qty Rqr. Indicates the quantity required.	Column (6) Qty Rqr. Indicates the quantity required.	
	Table 1.  COMPONENTS OF END ITEM LIST.	-1	1580	7	2	0		70		1	Table 1.  COMPONENTS OF END ITEM LIST.		
(1)	(2) (3) (4) (5) (6)	2	1580	7	2	0		70		1	(2) (3) (4) (5) (6)		
	ITEM NUMBER	-1	1581	7	2	0		70		1	ITEM NUMBER		
	NATIONAL STOCK NUMBER (NSN) AND ILLUSTRATION	-1	1581	7	2	0		70		1	NATIONAL STOCK NUMBER (NSN) AND ILLUSTRATION		
	DESCRIPTION, PART NUMBER/(CAGEC)	-1	1581	7	2	0		70		1	DESCRIPTION, PART NUMBER/(CAGEC)		
	USABLE ON CODE U/I	-1	1581	7	2	0		70		1	USABLE ON CODE U/I		
	QTY RQR	-1	1581	7	2	0		70		1	QTY RQR		
1	BOAT, RIGID INFLATABLE 1102610F-OC-A (0ZFD4) EA 1 2805-01–666–7770 OUTBOARD MOTOR, GASOLINE E250Z (1UVT5) EA 1 2805-01–666–7748 OUTBOARD MOTOR, GASOLINE E250ZC (1UVT5) EA 1 TM 5-1940-328-10 0062 0062-2 RIB RIB RIB Table 1.  COMPONENTS OF END ITEM LIST - Continued.	2	1582	7	2	0		70		1	BOAT, RIGID INFLATABLE 1102610F-OC-A (0ZFD4) EA 1 2805-01–666–7770 OUTBOARD MOTOR, GASOLINE E250Z (1UVT5) EA 1 2805-01–666–7748 OUTBOARD MOTOR, GASOLINE E250ZC (1UVT5) EA 1 TM 5-1940-328-10 0062 0062-2 RIB RIB RIB Table 1.  COMPONENTS OF END ITEM LIST - Continued.		
(1)	(2) (3) (4) (5) (6)	2	1582	7	2	0		70		1	(2) (3) (4) (5) (6)		
	ITEM NUMBER	-1	1583	7	2	0		70		1	ITEM NUMBER		
	NATIONAL STOCK NUMBER (NSN) AND ILLUSTRATION	-1	1583	7	2	0		70		1	NATIONAL STOCK NUMBER (NSN) AND ILLUSTRATION		
	DESCRIPTION, PART NUMBER/(CAGEC)	-1	1583	7	2	0		70		1	DESCRIPTION, PART NUMBER/(CAGEC)		
	USABLE ON CODE U/I	-1	1583	7	2	0		70		1	USABLE ON CODE U/I		
	QTY RQR	-1	1583	7	2	0		70		1	QTY RQR		
4	2330-01–666–7839	2	1583	7	2	0		70		1	2330-01–666–7839		
	TRAILER, BOAT MOVING WS8M-180 (0VSH3)	-1	1584	7	2	0		70		1	TRAILER, BOAT MOVING WS8M-180 (0VSH3)		
	EA 1	-1	1585	7	2	0		70		1	EA 1		
	RIB	-1	1585	7	2	0		70		1	RIB		
	Table 2.  BASIC ISSUE ITEMS (BII) LIST.	-1	1585	7	2	0		70		1	Table 2.  BASIC ISSUE ITEMS (BII) LIST.		
(1)	(2) (3) (4) (5) (6)	2	1585	7	2	0		70		1	(2) (3) (4) (5) (6)		
	ITEM NUMBER	-1	1586	7	2	0		70		1	ITEM NUMBER		
	NATIONAL STOCK NUMBER (NSN) AND ILLUSTRATION	-1	1586	7	2	0		70		1	NATIONAL STOCK NUMBER (NSN) AND ILLUSTRATION		
	DESCRIPTION, PART NUMBER/(CAGEC)	-1	1586	7	2	0		70		1	DESCRIPTION, PART NUMBER/(CAGEC)		
	USABLE ON CODE U/I	-1	1586	7	2	0		70		1	USABLE ON CODE U/I		
	QTY RQR	-1	1586	7	2	0		70		1	QTY RQR		
1	2040-01–406–6850 ANCHOR, MARINE, FLUKED FX16 (0JU33) EA 1 2540-01–494–0078 CHOCK, WHEEL-TRACK RC815 (032T9) EA 2 4210-01–586–7150 EXTINGUISHER, FIRE 25614 (57658) EA 3 TM 5-1940-328-10 0062 0062-4 RIB RIB RIB Table 2.  BASIC ISSUE ITEMS (BII) LIST - Continued.	2	1587	7	2	0		70		1	2040-01–406–6850 ANCHOR, MARINE, FLUKED FX16 (0JU33) EA 1 2540-01–494–0078 CHOCK, WHEEL-TRACK RC815 (032T9) EA 2 4210-01–586–7150 EXTINGUISHER, FIRE 25614 (57658) EA 3 TM 5-1940-328-10 0062 0062-4 RIB RIB RIB Table 2.  BASIC ISSUE ITEMS (BII) LIST - Continued.		
(1)	(2) (3) (4) (5) (6)	2	1587	7	2	0		70		1	(2) (3) (4) (5) (6)		
	ITEM NUMBER	-1	1588	7	2	0		70		1	ITEM NUMBER		
	NATIONAL STOCK NUMBER (NSN) AND ILLUSTRATION	-1	1588	7	2	0		70		1	NATIONAL STOCK NUMBER (NSN) AND ILLUSTRATION		
	DESCRIPTION, PART NUMBER/(CAGEC)	-1	1588	7	2	0		70		1	DESCRIPTION, PART NUMBER/(CAGEC)		
	USABLE ON CODE U/I	-1	1588	7	2	0		70		1	USABLE ON CODE U/I		
	QTY RQR	-1	1588	7	2	0		70		1	QTY RQR		
4	2040-01–677–6609 FENDER, MARINE 22-830-435 (0B530) EA 2 4020-01–678–4202 FIBER ROPE ASSEMBLY, SINGLE LEG (Anchor Line) ALB121C1 (0S4H4) EA 1 4020-01–678–4468 FIBER ROPE ASSEMBLY, SINGLE LEG (Fender Whip) 302110006BK-1 (41830) EA 2 TM 5-1940-328-10 0062 0062-5 RIB RIB RIB Table 2.  BASIC ISSUE ITEMS (BII) LIST - Continued.	2	1589	7	2	0		70		1	2040-01–677–6609 FENDER, MARINE 22-830-435 (0B530) EA 2 4020-01–678–4202 FIBER ROPE ASSEMBLY, SINGLE LEG (Anchor Line) ALB121C1 (0S4H4) EA 1 4020-01–678–4468 FIBER ROPE ASSEMBLY, SINGLE LEG (Fender Whip) 302110006BK-1 (41830) EA 2 TM 5-1940-328-10 0062 0062-5 RIB RIB RIB Table 2.  BASIC ISSUE ITEMS (BII) LIST - Continued.		
(1)	(2) (3) (4) (5) (6)	2	1589	7	2	0		70		1	(2) (3) (4) (5) (6)		
	ITEM NUMBER	-1	1590	7	2	0		70		1	ITEM NUMBER		
	NATIONAL STOCK NUMBER (NSN) AND ILLUSTRATION	-1	1590	7	2	0		70		1	NATIONAL STOCK NUMBER (NSN) AND ILLUSTRATION		
	DESCRIPTION, PART NUMBER/(CAGEC)	-1	1590	7	2	0		70		1	DESCRIPTION, PART NUMBER/(CAGEC)		
	USABLE ON CODE U/I	-1	1590	7	2	0		70		1	USABLE ON CODE U/I		
	QTY RQR	-1	1590	7	2	0		70		1	QTY RQR		
7	4020-01–647–7113 FIBER ROPE ASSEMBLY, SINGLE LEG (Mooring Line) 302116050BK-1 (41830) AY 4 4020-01–678–6007 FIBER ROPE ASSEMBLY, SINGLE LEG (Tow Line) WS8M402097 (0ZFD4) EA 1 6545-00–922–1200 FIRST AID KIT, UTILITY 6545-00-922-1200 (89875) KT 1 TM 5-1940-328-10 0062 0062-6 RIB RIB RIB Table 2.  BASIC ISSUE ITEMS (BII) LIST - Continued.	2	1591	7	2	0		70		1	4020-01–647–7113 FIBER ROPE ASSEMBLY, SINGLE LEG (Mooring Line) 302116050BK-1 (41830) AY 4 4020-01–678–6007 FIBER ROPE ASSEMBLY, SINGLE LEG (Tow Line) WS8M402097 (0ZFD4) EA 1 6545-00–922–1200 FIRST AID KIT, UTILITY 6545-00-922-1200 (89875) KT 1 TM 5-1940-328-10 0062 0062-6 RIB RIB RIB Table 2.  BASIC ISSUE ITEMS (BII) LIST - Continued.		
